experience,trend,province,percentage
purchase of food items as a result of the heavy rain / flood / tsunami,Decrease,Luganville,4%
purchase of food items as a result of the heavy rain / flood / tsunami,Decrease,Port Vila,3%
purchase of food items as a result of the heavy rain / flood / tsunami,Stable,Torba,51%
purchase of food items as a result of the heavy rain / flood / tsunami,Stable,Sanma rural,20%
purchase of food items as a result of the heavy rain / flood / tsunami,Stable,Penama,47%
purchase of food items as a result of the heavy rain / flood / tsunami,Stable,Malampa,36%
purchase of food items as a result of the heavy rain / flood / tsunami,Stable,Shefa rural,29%
purchase of food items as a result of the heavy rain / flood / tsunami,Stable,Tafea,45%
purchase of food items as a result of the heavy rain / flood / tsunami,Stable,Luganville,95%
purchase of food items as a result of the heavy rain / flood / tsunami,Stable,Port Vila,90%
purchase of food items as a result of the heavy rain / flood / tsunami,Not Concerned,Torba,3%
purchase of food items as a result of the heavy rain / flood / tsunami,Not Concerned,Sanma rural,1%
purchase of food items as a result of the heavy rain / flood / tsunami,Not Concerned,Penama,1%
purchase of food items as a result of the heavy rain / flood / tsunami,Not Concerned,Malampa,1%
purchase of food items as a result of the heavy rain / flood / tsunami,Not Concerned,Shefa rural,3%
purchase of food items as a result of the heavy rain / flood / tsunami,Not Concerned,Tafea,9%
purchase of food items as a result of the heavy rain / flood / tsunami,Not Concerned,Luganville,1%
purchase of food items as a result of the heavy rain / flood / tsunami,Not Concerned,Port Vila,0%
cash income as a result of the drought,Increase,Torba,9%
cash income as a result of the drought,Increase,Sanma rural,4%
cash income as a result of the drought,Increase,Penama,3%
cash income as a result of the drought,Increase,Malampa,7%
cash income as a result of the drought,Increase,Shefa rural,3%
cash income as a result of the drought,Increase,Tafea,4%
cash income as a result of the drought,Increase,Luganville,3%
cash income as a result of the drought,Increase,Port Vila,49%
cash income as a result of the drought,Decrease,Torba,60%
cash income as a result of the drought,Decrease,Sanma rural,80%
cash income as a result of the drought,Decrease,Penama,65%
cash income as a result of the drought,Decrease,Malampa,91%
cash income as a result of the drought,Decrease,Shefa rural,72%
cash income as a result of the drought,Decrease,Tafea,50%
cash income as a result of the drought,Decrease,Luganville,28%
cash income as a result of the drought,Decrease,Port Vila,51%
cash income as a result of the drought,Stable,Torba,30%
cash income as a result of the drought,Stable,Sanma rural,15%
cash income as a result of the drought,Stable,Penama,31%
cash income as a result of the drought,Stable,Malampa,2%
cash income as a result of the drought,Stable,Shefa rural,24%
cash income as a result of the drought,Stable,Tafea,42%
cash income as a result of the drought,Stable,Luganville,64%
cash income as a result of the drought,Stable,Port Vila,0%
cash income as a result of the drought,Not Concerned,Torba,1%
cash income as a result of the drought,Not Concerned,Sanma rural,0%
cash income as a result of the drought,Not Concerned,Penama,1%
cash income as a result of the drought,Not Concerned,Malampa,0%
cash income as a result of the drought,Not Concerned,Shefa rural,1%
cash income as a result of the drought,Not Concerned,Tafea,5%
cash income as a result of the drought,Not Concerned,Luganville,5%
cash income as a result of the drought,Not Concerned,Port Vila,0%
food items in stock as a result of the drought,Increase,Torba,4%
food items in stock as a result of the drought,Increase,Sanma rural,1%
food items in stock as a result of the drought,Increase,Penama,0%
food items in stock as a result of the drought,Increase,Malampa,6%
food items in stock as a result of the drought,Increase,Shefa rural,2%
food items in stock as a result of the drought,Increase,Tafea,2%
food items in stock as a result of the drought,Increase,Luganville,2%
food items in stock as a result of the drought,Increase,Port Vila,49%
food items in stock as a result of the drought,Decrease,Torba,77%
food items in stock as a result of the drought,Decrease,Sanma rural,92%
food items in stock as a result of the drought,Decrease,Penama,78%
food items in stock as a result of the drought,Decrease,Malampa,92%
food items in stock as a result of the drought,Decrease,Shefa rural,67%
food items in stock as a result of the drought,Decrease,Tafea,92%
food items in stock as a result of the drought,Decrease,Luganville,28%
food items in stock as a result of the drought,Decrease,Port Vila,51%
food items in stock as a result of the drought,Stable,Torba,19%
food items in stock as a result of the drought,Stable,Sanma rural,7%
food items in stock as a result of the drought,Stable,Penama,21%
food items in stock as a result of the drought,Stable,Malampa,2%
food items in stock as a result of the drought,Stable,Shefa rural,31%
food items in stock as a result of the drought,Stable,Tafea,6%
food items in stock as a result of the drought,Stable,Luganville,65%
food items in stock as a result of the drought,Stable,Port Vila,0%
food items in stock as a result of the drought,Not Concerned,Torba,0%
food items in stock as a result of the drought,Not Concerned,Sanma rural,0%
food items in stock as a result of the drought,Not Concerned,Penama,0%
food items in stock as a result of the drought,Not Concerned,Malampa,0%
food items in stock as a result of the drought,Not Concerned,Shefa rural,0%
food items in stock as a result of the drought,Not Concerned,Tafea,1%
food items in stock as a result of the drought,Not Concerned,Luganville,5%
food items in stock as a result of the drought,Not Concerned,Port Vila,0%
purchase of food items as a result of the drought,Increase,Torba,35%
purchase of food items as a result of the drought,Increase,Sanma rural,61%
purchase of food items as a result of the drought,Increase,Penama,64%
purchase of food items as a result of the drought,Increase,Malampa,6%
purchase of food items as a result of the drought,Increase,Shefa rural,70%
purchase of food items as a result of the drought,Increase,Tafea,53%
purchase of food items as a result of the drought,Increase,Luganville,19%
purchase of food items as a result of the drought,Increase,Port Vila,49%
purchase of food items as a result of the drought,Decrease,Torba,22%
purchase of food items as a result of the drought,Decrease,Sanma rural,26%
purchase of food items as a result of the drought,Decrease,Penama,1%
purchase of food items as a result of the drought,Decrease,Malampa,77%
purchase of food items as a result of the drought,Decrease,Shefa rural,4%
purchase of food items as a result of the drought,Decrease,Tafea,3%
purchase of food items as a result of the drought,Decrease,Luganville,11%
purchase of food items as a result of the drought,Decrease,Port Vila,51%
purchase of food items as a result of the drought,Stable,Torba,42%
purchase of food items as a result of the drought,Stable,Sanma rural,12%
purchase of food items as a result of the drought,Stable,Penama,34%
purchase of food items as a result of the drought,Stable,Malampa,17%
purchase of food items as a result of the drought,Stable,Shefa rural,26%
purchase of food items as a result of the drought,Stable,Tafea,39%
purchase of food items as a result of the drought,Stable,Luganville,66%
purchase of food items as a result of the drought,Stable,Port Vila,0%
purchase of food items as a result of the drought,Not Concerned,Torba,1%
purchase of food items as a result of the drought,Not Concerned,Sanma rural,0%
purchase of food items as a result of the drought,Not Concerned,Penama,0%
purchase of food items as a result of the drought,Not Concerned,Malampa,0%
purchase of food items as a result of the drought,Not Concerned,Shefa rural,0%
purchase of food items as a result of the drought,Not Concerned,Tafea,5%
purchase of food items as a result of the drought,Not Concerned,Luganville,4%
purchase of food items as a result of the drought,Not Concerned,Port Vila,0%
cash income as a result of the volcanic eruption or ash fall,Increase,Torba,0%
cash income as a result of the volcanic eruption or ash fall,Increase,Sanma rural,0%
cash income as a result of the volcanic eruption or ash fall,Increase,Penama,7%
cash income as a result of the volcanic eruption or ash fall,Increase,Malampa,2%
cash income as a result of the volcanic eruption or ash fall,Increase,Shefa rural,0%
cash income as a result of the volcanic eruption or ash fall,Increase,Tafea,2%
cash income as a result of the volcanic eruption or ash fall,Increase,Luganville,2%
cash income as a result of the volcanic eruption or ash fall,Increase,Port Vila,100%
cash income as a result of the volcanic eruption or ash fall,Decrease,Torba,86%
cash income as a result of the volcanic eruption or ash fall,Decrease,Sanma rural,85%
cash income as a result of the volcanic eruption or ash fall,Decrease,Penama,51%
cash income as a result of the volcanic eruption or ash fall,Decrease,Malampa,95%
cash income as a result of the volcanic eruption or ash fall,Decrease,Shefa rural,79%
cash income as a result of the volcanic eruption or ash fall,Decrease,Tafea,29%
cash income as a result of the volcanic eruption or ash fall,Decrease,Luganville,29%
cash income as a result of the volcanic eruption or ash fall,Decrease,Port Vila,0%
cash income as a result of the volcanic eruption or ash fall,Stable,Torba,14%
cash income as a result of the volcanic eruption or ash fall,Stable,Sanma rural,14%
cash income as a result of the volcanic eruption or ash fall,Stable,Penama,41%
cash income as a result of the volcanic eruption or ash fall,Stable,Malampa,2%
cash income as a result of the volcanic eruption or ash fall,Stable,Shefa rural,21%
cash income as a result of the volcanic eruption or ash fall,Stable,Tafea,64%
cash income as a result of the volcanic eruption or ash fall,Stable,Luganville,64%
cash income as a result of the volcanic eruption or ash fall,Stable,Port Vila,0%
cash income as a result of the volcanic eruption or ash fall,Not Concerned,Torba,0%
cash income as a result of the volcanic eruption or ash fall,Not Concerned,Sanma rural,1%
cash income as a result of the volcanic eruption or ash fall,Not Concerned,Penama,0%
cash income as a result of the volcanic eruption or ash fall,Not Concerned,Malampa,0%
cash income as a result of the volcanic eruption or ash fall,Not Concerned,Shefa rural,0%
cash income as a result of the volcanic eruption or ash fall,Not Concerned,Tafea,4%
cash income as a result of the volcanic eruption or ash fall,Not Concerned,Luganville,4%
cash income as a result of the volcanic eruption or ash fall,Not Concerned,Port Vila,0%
food items in stock as a result of the volcanic eruption or ash fall,Increase,Torba,0%
food items in stock as a result of the volcanic eruption or ash fall,Increase,Sanma rural,1%
food items in stock as a result of the volcanic eruption or ash fall,Increase,Penama,2%
food items in stock as a result of the volcanic eruption or ash fall,Increase,Malampa,2%
food items in stock as a result of the volcanic eruption or ash fall,Increase,Shefa rural,0%
food items in stock as a result of the volcanic eruption or ash fall,Increase,Tafea,2%
food items in stock as a result of the volcanic eruption or ash fall,Increase,Luganville,1%
food items in stock as a result of the volcanic eruption or ash fall,Increase,Port Vila,100%
food items in stock as a result of the volcanic eruption or ash fall,Decrease,Torba,86%
food items in stock as a result of the volcanic eruption or ash fall,Decrease,Sanma rural,86%
food items in stock as a result of the volcanic eruption or ash fall,Decrease,Penama,69%
food items in stock as a result of the volcanic eruption or ash fall,Decrease,Malampa,96%
food items in stock as a result of the volcanic eruption or ash fall,Decrease,Shefa rural,79%
food items in stock as a result of the volcanic eruption or ash fall,Decrease,Tafea,53%
food items in stock as a result of the volcanic eruption or ash fall,Decrease,Luganville,32%
food items in stock as a result of the volcanic eruption or ash fall,Decrease,Port Vila,0%
food items in stock as a result of the volcanic eruption or ash fall,Stable,Torba,14%
food items in stock as a result of the volcanic eruption or ash fall,Stable,Sanma rural,12%
food items in stock as a result of the volcanic eruption or ash fall,Stable,Penama,29%
food items in stock as a result of the volcanic eruption or ash fall,Stable,Malampa,2%
food items in stock as a result of the volcanic eruption or ash fall,Stable,Shefa rural,21%
food items in stock as a result of the volcanic eruption or ash fall,Stable,Tafea,43%
food items in stock as a result of the volcanic eruption or ash fall,Stable,Luganville,66%
food items in stock as a result of the volcanic eruption or ash fall,Stable,Port Vila,0%
food items in stock as a result of the volcanic eruption or ash fall,Not Concerned,Torba,0%
food items in stock as a result of the volcanic eruption or ash fall,Not Concerned,Sanma rural,1%
food items in stock as a result of the volcanic eruption or ash fall,Not Concerned,Penama,0%
food items in stock as a result of the volcanic eruption or ash fall,Not Concerned,Malampa,0%
food items in stock as a result of the volcanic eruption or ash fall,Not Concerned,Shefa rural,0%
food items in stock as a result of the volcanic eruption or ash fall,Not Concerned,Tafea,1%
food items in stock as a result of the volcanic eruption or ash fall,Not Concerned,Luganville,2%
food items in stock as a result of the volcanic eruption or ash fall,Not Concerned,Port Vila,0%
purchase of food items as a result of the volcanic eruption or ash fall,Increase,Torba,73%
purchase of food items as a result of the volcanic eruption or ash fall,Increase,Sanma rural,2%
purchase of food items as a result of the volcanic eruption or ash fall,Increase,Penama,43%
purchase of food items as a result of the volcanic eruption or ash fall,Increase,Malampa,2%
purchase of food items as a result of the volcanic eruption or ash fall,Increase,Shefa rural,79%
purchase of food items as a result of the volcanic eruption or ash fall,Increase,Tafea,30%
purchase of food items as a result of the volcanic eruption or ash fall,Increase,Luganville,13%
purchase of food items as a result of the volcanic eruption or ash fall,Increase,Port Vila,100%
purchase of food items as a result of the volcanic eruption or ash fall,Decrease,Torba,13%
purchase of food items as a result of the volcanic eruption or ash fall,Decrease,Sanma rural,84%
purchase of food items as a result of the volcanic eruption or ash fall,Decrease,Penama,4%
purchase of food items as a result of the volcanic eruption or ash fall,Decrease,Malampa,52%
purchase of food items as a result of the volcanic eruption or ash fall,Decrease,Shefa rural,0%
purchase of food items as a result of the volcanic eruption or ash fall,Decrease,Tafea,4%
purchase of food items as a result of the volcanic eruption or ash fall,Decrease,Luganville,15%
purchase of food items as a result of the volcanic eruption or ash fall,Decrease,Port Vila,0%
purchase of food items as a result of the volcanic eruption or ash fall,Stable,Torba,14%
purchase of food items as a result of the volcanic eruption or ash fall,Stable,Sanma rural,14%
purchase of food items as a result of the volcanic eruption or ash fall,Stable,Penama,52%
purchase of food items as a result of the volcanic eruption or ash fall,Stable,Malampa,45%
purchase of food items as a result of the volcanic eruption or ash fall,Stable,Shefa rural,21%
purchase of food items as a result of the volcanic eruption or ash fall,Stable,Tafea,62%
purchase of food items as a result of the volcanic eruption or ash fall,Stable,Luganville,70%
purchase of food items as a result of the volcanic eruption or ash fall,Stable,Port Vila,0%
purchase of food items as a result of the volcanic eruption or ash fall,Not Concerned,Torba,0%
purchase of food items as a result of the volcanic eruption or ash fall,Not Concerned,Sanma rural,1%
purchase of food items as a result of the volcanic eruption or ash fall,Not Concerned,Penama,1%
purchase of food items as a result of the volcanic eruption or ash fall,Not Concerned,Malampa,1%
purchase of food items as a result of the volcanic eruption or ash fall,Not Concerned,Shefa rural,0%
purchase of food items as a result of the volcanic eruption or ash fall,Not Concerned,Tafea,4%
purchase of food items as a result of the volcanic eruption or ash fall,Not Concerned,Luganville,2%
purchase of food items as a result of the volcanic eruption or ash fall,Not Concerned,Port Vila,0%
